bmg_alloy,paper_sno,actual_d_max
Al8.0Ni11.0Cu11.0Zr70.0,"[1, 5, 6, 7, 9]",8
Al8.0Ni16.0Cu6.0Zr70.0,"[1, 5, 6, 7]",8
Al20.0Co20.0Cu5.0Zr55.0,"[1, 5, 6, 7]",5
Al15.0Ni25.0Zr60.0,"[1, 6]",15
Al13.0Ni25.0Zr62.0,"[1, 6]",12
Al15.0Ni25.0Zr58.0Nb2.0,"[1, 6]",16
Al15.0Ni25.0Zr56.0Nb4.0,"[1, 6]",20
Al13.0Ni25.0Zr58.0Nb4.0,"[1, 6]",15
Al23.5Co23.5Zr53.0,"[1, 6]",3
Al23.5Co22.5Zr53.0Ag1.0,"[1, 6]",3
Al23.5Co20.5Zr53.0Ag3.0,"[1, 6]",5
Al23.5Co18.5Zr53.0Ag5.0,"[1, 6]",10
Al23.5Co16.5Zr53.0Ag7.0,"[1, 6]",5
Al23.5Co14.5Zr53.0Ag9.0,"[1, 6]",5
Al7.5Cu22.5Zr60.0Nb5.0Pd5.0,"[1, 6]",4
Al10.0Ti6.0Fe5.0Cu19.0Zr60.0,"[1, 6]",5
Al10.0Fe5.0Cu20.0Zr60.0Nb5.0,"[1, 6]",5
Mg23.1Ca30.8Cu15.4Ag30.8,"[1, 6]",2.5
Mg30.8Ca30.8Cu7.7Ag30.8,"[1, 6]",2
Mg30.8Ca23.1Cu7.7Ag38.5,"[1, 6]",3
Mg23.2Ca23.0Cu7.7Ag46.2,"[1, 6]",2
Mg25.0Ca30.0Cu45.0,"[1, 5, 6, 7, 9]",2.5
Mg25.0Ca35.0Cu40.0,"[1, 5, 6, 7, 9]",3.5
Mg33.3Ca33.3Ca33.3,"[1, 6]",3
Mg27.2Ca36.4Cu36.4,"[1, 5, 6, 7, 9]",8
Mg31.8Ca31.8Cu36.4,"[1, 5, 6, 7, 9]",8
Mg36.4Ca27.2Cu36.4,"[1, 5, 6, 7, 9]",5
Mg18.2Ca40.9Cu40.9,"[1, 5, 6, 7, 9]",3
Mg22.7Ca36.4Cu40.9,"[1, 5, 6, 7]",5
Mg27.3Ca31.8Cu40.9,"[1, 5, 6, 7, 9]",4
Mg31.8Ca27.3Cu40.9,"[1, 5, 6, 7, 9]",3
Mg36.4Ca22.7Cu40.9,"[1, 5, 6, 7, 9]",1.5
Mg18.1Ca36.4Cu45.5,"[1, 5, 6, 7]",3
Mg22.7Ca31.8Cu45.5,"[1, 5, 6, 7, 9]",3
